,Sr No.,Utterance,Emotion
5746,6076,Nooo!,surprise
5758,6088,What?! It’s 6 o’clock!,surprise
5760,6090,"I wrote it on the board, then I went all over New York City looking for ya!",anger
5772,6103,Yes!!  Oh.,surprise
5773,6104,I cannot believe that I just spent the last two days trying to figure out the recipe and it was in my cupboard the whole time!,anger
5774,6105,I know! You see it is stuff like this which is why  you’re burning in hell!!,anger
5799,6131,"Oh, hey, don't do that! Cut it out!",anger
5801,6133,"Hey, this is so unfair!",anger
5802,6134,"Oh, why is it unfair?",surprise
5803,6135,So I have a flaw!,anger
5804,6136,Big deal!,anger
5805,6137,Like Joey's constant knuckle-cracking isn't annoying?,anger
5806,6138,"And Ross, with his over-pronouncing every single word?",anger
5807,6139,"And Monica, with that snort when she laughs?",anger
5809,6141,"...I accept all those flaws, why can't you accept me for this?",anger
5810,6142,...Does the knuckle-cracking bother everybody?,anger
5814,6146,"Oh,  ""you do, do you""?",anger
5818,6150,"Ohh-ho-hooohhh. The hair comes out, and the gloves come on.",anger
5830,6162,"Yeah, oh, ""Your mom probably won't kill herself,"" y’know?",anger
5831,6163,"I'm sorry, but I'm not hanging all my hopes of Rachel and I living together on-on ""Probably!""",anger
5850,6184,They’re having their baby!,anger
5851,6185,It’s not fair Ross we got here first!,anger
5854,6188,"Wow! Sorry. So uh, how are the new people?",surprise
5857,6191,"Look at that guy by the window, wow!",surprise
5865,6199,Really?! So this has happened to you?,surprise
5872,6206,I called the company that sent and th-they don’t care!,anger
5873,6207,"Then I called 9-1-1 and they laughed at me, if this isn’t an emergency, then what is?",anger
5881,6215,"And-and another one had never been to a party before, so",surprise
5885,6219,"That ring? When my grandmother first came to this country, that ring and the clothes on her back were all she had with her.",surprise
5886,6220,"So you might say, the ring is irreplaceable?",surprise
5889,6223,OH MY GOD!! I didn’t really believe it until you just said it!!,surprise
5901,6235,Ah yeah—wait a second now!,anger
5903,6237,I don’t have the money to take her to a fancy place like that.,anger
5914,6248,"Oh, don’t thank me, thank the jerk that never showed up. Okay, I gotta get to get to work.",anger
5917,6251,Whoa! Are you okay?,surprise
5918,6252,"Whew! Stood up to fast, got a little head rush.",surprise
5922,6256,Like you wouldn’t believe.  Wow! This is a great place.,surprise
5925,6259,Oh!,surprise
5927,6261,"Ooohh, to a Porsche!",surprise
5932,6269,There’s a lost and found?  My shoe!,surprise
5933,6270,You left a shoe here?!,surprise
5955,6293,"Did you just say Hi, Jew?",surprise
5960,6298,"What the smell from Joey’s? No, I can hardly smell it over here.",surprise
5966,6304,Oh!  Hello?  Yeah this is Phoebe.  Really?!,surprise
5972,6310,Joey proposed to me.,surprise
5973,6311,Is he crazy?! You just had Ross’s baby!,surprise
5975,6313,What?!,surprise
5976,6314,Are you crazy?,anger
5977,6315,You just had Ross’s baby!,anger
5978,6316,It’s-it’s so  inappropriate.,anger
5981,6319,It’s… It is bigger than  mine!,surprise
5993,6331,Oh my God Monica!,surprise
6000,6338,Damnit!,anger
6001,6343,"I will be! Listen, I don’t want you teaching my son that stuff anymore. Okay?",anger
6003,6345,"Fine, but I’ll have you know that once I taught him that stuff he called me Fun Aunt Rachel.",anger
6004,6346,And I loved being Fun Aunt Rachel but I’ll go back to being Boring and Uncomfortable Aunt Rachel if that’s what you want!,anger
6008,6350,Crap!!,anger
6010,6352,Look at that! Look at that! They’re going into the first class lounge! Do you know what they have in there?,surprise
6012,6354,Me neither! We have to get in!,surprise
6014,6356,Oh my God! Oranges!,surprise
6028,6376,"Uh actually, I sent the flowers before the actual date. So technically,",anger
6029,6377,Oh-oh! So that’s the way it’s gonna be huh? Yeah I can break the rules too y’know!,anger
6030,6378,Oh yeah? What are you gonna do?,anger
6033,6381,Y’know what Ross? I’m not gonna let you get away with this!,anger
6035,6383,Well we’ll see!,anger
6041,6389,Hey!,surprise
6061,6409,"Phoebs, It's open! It's open!",surprise
6062,6410,Wait! You forgot your legs!,surprise
6066,6414,Oh-oh!,surprise
6083,6431,I do?,surprise
6090,6438,How did you…know?,surprise
6091,6439,Hey! What's she doing back here?,surprise
6094,6442,What happened in Atlantic City?!,surprise
6096,6444,"Did you not hear me say, ""Du-ude?!""",anger
6100,6448,You kissed a guy?!! Oh my God.,surprise
6101,6449,"In my defense, it was dark and he was a very pretty guy.",anger
6103,6451,"Ho-ho, so hard we had to throw out your underwear again?",anger
6119,6467,Hey! Why are you all red and sweaty?,surprise
6131,6479,Hypothetically!,anger
6138,6487,Wh-why is that the best part?,surprise
6142,6491,Fine!,anger
6146,6496,"Every five minutes, Joey throws his sticks in the air, and I have to hear, ""Oh my eye!",anger
6147,6497,"Oh god, my eye!""",anger
6148,6498,"I mean, it is so annoying.",anger
6150,6500,"Phoebe, you got Joey drums to annoy Rachel, so she wouldn't wanna live there anymore?",surprise
6152,6502,Joey? Could you get that?  What are you doing here? I thought you were in your room?,surprise
6165,6515,"Foosball, huh?",surprise
6167,6517,"Oh, a subscription to",surprise
6175,6525,"No-no-no-no, he’s not! No! Why are you trying to ruin the game? Come on!",anger
6176,6526,Can you believe what a jerk Ross was being?,anger
6185,6535,"Well, not playing raquetball!",surprise
6186,6536,He forgot to leave his grip size!,surprise
6187,6537,He didn't get the goggles!,surprise
6195,6546,What are you guys doing here?,anger
6196,6547,Uhhhh.... he's not even wearing a jockstrap!,surprise
6213,6566,You think?,surprise
6222,6575,"Yeah you will!  And, are you kiddin’ me?!",anger
6228,6581,Wow!,surprise
6234,6587,Wow!,surprise
6235,6588,What?,surprise
6237,6590,Really?,surprise
6256,6610,The best man? Wow!,surprise
6266,6621,It was unbelievable!,surprise
6270,6625,"What are you, insane?",anger
6275,6630,I can't believe my parents are actually pressuring me to find one of you people.,surprise
6276,6631,"Oh, God, just do it!  Call her! Stop being so testosteroney!",anger
6282,6637,"Look look! It's Rachel and Barry. No, don't everybody look at once!",surprise
6310,6666,And instead my parents got me this little plastic chicken that you hop around on.,anger
6321,6677,Oh!,surprise
6322,6678,"Will you pick one, just pick one! Here, how about that one?",anger
6323,6679,That's patio furniture!,surprise
6329,6685,"Oh, so, forget about the birds, but big red insects suggest fine dining!",anger
6330,6686,"Fine, you want to get the birds, get the birds!",anger
6353,6710,"Hey, this isn’t like swimming after you eat, pick up the phone!!",anger
6362,6719,"Embryossss? As in, ""More than one?""",surprise
6366,6723,That’s it! 25 percent? That means that’s it’s like 75 percent chance of no baby at all!,surprise
6375,6732,Wow! You guys really don’t know anything!,surprise
6376,6733,I know! Why don’t you get drunk! That worked for a lot of girls in my high school.,anger
6379,6745,You guys got anything to eat? I just went down to Johnos for some chicken and it was closed!,surprise
6381,6747,"Pheebs, if this guy keeps closing down all of our favorite places, where are we gonna eat?!",anger
6386,6752,We'll be right there!  Can't you just say it starts later?,anger
6387,6753,What? What kind of a regatta gala starts at night?!,surprise
6388,6754,The fake kind!,anger
6409,6775,Why are- why are you so tanned?,surprise
6412,6778,"Oh God, oh.",anger
6414,6780,Monica? Monica!,anger
6418,6784,"Okay Monica, what are you doing? You're gonna lose your job! This is not you!",anger
6420,6786,"Y'know, I'm not just the person who needs to fluff the pillows and pay the bills as soon as they come in!",anger
6435,6802,"Ok, but you know what? I gotta say, I'm really impressed that    you were able to memorize all this so quickly!",surprise
6437,6804,Wow. What does,surprise
6438,6805,No idea!,surprise
6442,6809,"Nah ah! Nah ah!  No no no! No ad-libbing    and dude, you can't",anger
6444,6811,No!,anger
6446,6813,Hey!  What happened to you? Why didn’t you come up?,surprise
6448,6815,You just finished?,surprise
6456,6823,"What are you talking about, Ross, you just said that you read it twice!",anger
6457,6824,"Look, y'know what, either it does or it doesn’t, and if you have to even",anger
6468,6836,"I’m sorry, is this the same Rachel who’s name you said at the altar in the second marriage?",surprise
6479,6847,Ooh!,surprise
6480,6848,There’s no way to do this without her?,surprise
6485,6855,What?,surprise
6498,6869,That's crazy!,surprise
6499,6870,You can't do that!,surprise
6505,6876,Ohh! Lucky me! Oh my God! That,surprise
6507,6878,"Oh yeah, really? Is it Ross? Yeah? Okay, well let me make this a just a little bit easier for you.",anger
6508,6879,What are you doing?,surprise
6509,6880,Storming out!,anger
6511,6882,"Yeah, well that's how mad I am!!",anger
6512,6883,These little women. Wow!,surprise
6523,6894,Whoa!,surprise
6526,6897,Whoa!!,surprise
6539,6911,"Op, but the twelfth brings a lover’s spat.",surprise
6540,6912,"Oh, wait and on the nineteenth a secret crush announces itself.",surprise
6543,6915,Oh my God! It’s Joey Tribbiani of Mac and C.H.E.E.S.E.!!!!!!!,surprise
6548,6920,I can’t even use Chandler’s computer except to find porn!,anger
6549,6921,And-and that’s only ‘cause it’s right there when you turn it on!,anger
6550,6922,I think our lover’s spat will start a little early this month.,anger
6553,6925,Oh my God! It sure didn’t look this way when I lived here.,surprise
6554,6926,I know!,surprise
6597,6975,I said I’ll do it!,anger
6599,6977,Monica! I’m not gonna screw it up!,anger
6605,6984,Ugh!  What grandmother?,surprise
6610,6989,Wait!,surprise
6611,6990,Wait!,surprise
6612,6991,Did you see that?,surprise
6613,6992,That mail guy had no idea there was something going on between us.,surprise
6621,7000,The guy who took Rachel to the prom? Why is he calling you?,surprise
6628,7007,"Wow! Look at that, Chip Matthews called. I wonder what he wants?",surprise
6634,7013,Oh!,surprise
6635,7014,What?!,surprise
6636,7015,What?! She made the tea!,surprise
6637,7016,"Oh! No, I-I think I just had a contraction.",surprise
6638,7017,You what?,surprise
6639,7018,Oh my God!,surprise
6645,7024,"I’ve been a nice guy up until now, but uh, I don’t need this grief.",anger
6646,7025,I’m gonna call the landlord and tell him that Monica is illegally subletting here grandmother’s apartment.,anger
6647,7026,Your friends are outta here pal.,anger
6648,7027,Why don’t you tell me something I don’t know!,anger
6658,7037,Oh crap!,anger
6661,7040,Sure! Why?,surprise
6663,7042,What?!,surprise
6664,7043,She just called and said that she was gonna be working late!,anger
6665,7044,She keeps lying to me!,anger
6666,7045,That's it!,anger
6667,7047,I'm just gonna go over there and confront them right now!,anger
6669,7049,Really?,surprise
6673,7053,"Hey-hey, check it out! Check it out! Ugly Naked Guy has a naked friend!",surprise
6674,7054,Oh yeah!  Oh my God! That is,surprise
6675,7055,"Yeah, it is! Naked Ross!!",surprise
6676,7056,"Y'know, hey! You’re the one who ended it, remember?",anger
6678,7058,You still love me?,anger
6682,7062,What?!,surprise
6684,7064,I won! I won! I finally won!,surprise
6685,7065,I won! That was my quarter!,anger
6686,7066,Fine! Here! Take a hike toots!,anger
6687,7067,"Excuse me, sir! This lady played my quarter, this is my money.",anger
6690,7070,What?!,surprise
6692,7072,It was my quarter!,anger
6696,7076,"No! No, you can't arrest me! No!! I won't go back! I won't go back to that hell hole!!",anger
6697,7077,I'm just taking you outside!,anger
6702,7082,No!,anger
6703,7083,"Ross, come on!",anger
6704,7084,No!,anger
6707,7087,Oh b-b-but it is!,anger
6709,7089,"Oh Ross, come on! This is not, this is not a marriage!! This is the world’s worst hangover! Ross, listen, if",anger
6720,7101,"How, how did that happen?",surprise
6721,7102,Oh my god.,surprise
6722,7103,What?,surprise
6725,7114,"No, no, no, don't! I've been waitin' for like, forever to go out with Lorraine. Just calm down.",anger
6726,7115,Calm down? Calm down? You set me up with the woman that I've dumped twice in the last five months!,anger
6727,7116,"Can you stop yellin'? You're makin' me nervous, and I can't go when I'm nervous.",anger
6728,7117,"I'm sorry, I'm sorry, you're right.  Come on, do it, do it, go, come on!!!",anger
6740,7129,That was a half an hour?,surprise
6749,7138,Oh whoa-whoa-whoa!,anger
6757,7146,Get outta here!,surprise
6758,7147,Whoa-whoa-whoa!,surprise
6759,7148,No drinks near the bucket!,anger
6760,7149,Set it down over there and then you can make a contribution!,anger
6761,7150,And you can leave the hurt bunny look over there too!,anger
6763,7152,I thought I told you to get outta here!,anger
6774,7163,Oh really? That’d be great! You guys can be the contestants!,surprise
6778,7167,Bamboozled?,surprise
6783,7172,"Oh honey, I think I’m having one too!",surprise
6787,7176,No! No!! No! Can I speak to someone in charge please?!,anger
6789,7178,"Hi, I was wondering if it is possible to increase security in the Paleontology section?",anger
6790,7179,"See I-I wrote a book up there and instead of reading it people are-are-are well, rolling around in front of it.",anger
6794,7183,"Well, fine.",anger
6795,7184,Fine!,anger
6796,7185,"If-if I’m the only person with any appreciation of the sanctity of the written word, I’ll go up there and defend it myself!",anger
6797,7186,And don’t you follow me!,anger
6799,7188,"Oh my God! Phoebe look, it’s Ross and that girl.",surprise
6800,7189,No! No! Look at that!  It’s a line of ants! They’re working as a team!,surprise
6802,7192,"Wow, oh, it looks like Ross is breaking up with her.",surprise
6804,7195,"Come on Phoebe, look at that!",anger
